merchant_id,merchant_name,normalized_name,merchant_status,merchant_source,keyword_id,keyword,normalized_keyword,keyword_source,keyword_created_at,keyword_updated_at
33,Harmoney,HARMONEY,active,sample_verified,55,Harmoney,HARMONEY,sample_verified_standard_name,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
117,Harrup Park Country Club,HARRUP PARK COUNTRY CLUB,active,manual_review,179,HARRUP PARK COUNTRY,HARRUP PARK COUNTRY,manual_review,2026-07-03T09:39:16+00:00,2026-07-03T09:39:16+00:00
102,Hcfhealth,HCFHEALTH,active,manual_review,164,Hcfhealth,HCFHEALTH,manual_review,2026-07-03T09:08:54+00:00,2026-07-03T09:08:54+00:00
338,Hertz,HERTZ,active,manual_review,610,Hertz,HERTZ,manual_review,2026-07-06T06:58:57+00:00,2026-07-06T06:58:57+00:00
495,HomeRepair.net.au,HOMEREPAIR NET AU,active,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv,803,HomeRepair.net.au,HOMEREPAIR NET AU,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv:standardized,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
425,Hotels.com,HOTELS COM,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,719,Hotels.com,HOTELS COM,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
112,Hubbl,HUBBL,active,manual_review,368,BINGE,BINGE,manual_review,2026-07-06T02:02:15+00:00,2026-07-06T02:02:15+00:00
112,Hubbl,HUBBL,active,manual_review,174,HUBBL - BINGE,HUBBL BINGE,manual_review,2026-07-03T09:36:30+00:00,2026-07-03T09:36:30+00:00
328,Humanitix,HUMANITIX,active,manual_review,597,HUMANITIX,HUMANITIX,manual_review,2026-07-06T06:51:40+00:00,2026-07-06T06:51:40+00:00
212,Hungry Jack's,HUNGRY JACK S,active,manual_review,564,HJs,HJS,manual_review,2026-07-06T06:38:12+00:00,2026-07-06T06:38:12+00:00
212,Hungry Jack's,HUNGRY JACK S,active,manual_review,452,HUNGRY JACKS,HUNGRY JACKS,manual_review,2026-07-06T03:30:35+00:00,2026-07-06T03:30:35+00:00
212,Hungry Jack's,HUNGRY JACK S,active,manual_review,450,hungry jack s,HUNGRY JACK S,manual_review,2026-07-06T03:29:27+00:00,2026-07-06T03:29:27+00:00
34,IGA,IGA,active,sample_verified,56,IGA,IGA,sample_verified_standard_name,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
34,IGA,IGA,active,sample_verified,232,IGA SUPERMARKET,IGA SUPERMARKET,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_002_merchant_verified.csv,2026-07-06T01:32:01+00:00,2026-07-06T01:32:01+00:00
34,IGA,IGA,active,sample_verified,351,SUPA IGA,SUPA IGA,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_008_merchant_verified.csv,2026-07-06T01:34:21+00:00,2026-07-06T01:34:21+00:00
239,IKEA,IKEA,active,manual_review,487,IKEA,IKEA,manual_review,2026-07-06T05:32:22+00:00,2026-07-06T05:32:22+00:00
387,ING Australia,ING AUSTRALIA,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,672,ING Australia,ING AUSTRALIA,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
151,JB Hi-Fi,JB HI FI,active,manual_review,218,JB HI FI,JB HI FI,manual_review,2026-07-03T09:54:00+00:00,2026-07-03T09:54:00+00:00
151,JB Hi-Fi,JB HI FI,active,manual_review,220,JB HIFI,JB HIFI,manual_review,2026-07-03T09:54:16+00:00,2026-07-03T09:54:16+00:00
151,JB Hi-Fi,JB HI FI,active,manual_review,249,JBHIFI,JBHIFI,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_002_merchant_verified.csv,2026-07-06T01:32:02+00:00,2026-07-06T01:32:02+00:00
180,JD Sports,JD SPORTS,active,manual_review,393,JD SPORTS,JD SPORTS,manual_review,2026-07-06T02:27:10+00:00,2026-07-06T02:27:10+00:00
171,Jacaranda Finance,JACARANDA FINANCE,active,manual_review,384,Jacaranda,JACARANDA,manual_review,2026-07-06T02:21:08+00:00,2026-07-06T02:21:08+00:00
171,Jacaranda Finance,JACARANDA FINANCE,active,manual_review,382,Jacaranda finance,JACARANDA FINANCE,manual_review,2026-07-06T02:19:24+00:00,2026-07-06T02:19:24+00:00
95,Jambrook Holdings Pty Ltd,JAMBROOK HOLDINGS PTY LTD,active,manual_review,157,JAMBROOK HOLDINGS PTY,JAMBROOK HOLDINGS PTY,manual_review,2026-07-03T08:57:15+00:00,2026-07-03T08:57:15+00:00
128,Jay Jays,JAY JAYS,active,manual_review,193,JAY JAYS,JAY JAYS,manual_review,2026-07-03T09:44:23+00:00,2026-07-03T09:44:23+00:00
340,Jetstar,JETSTAR,active,manual_review,612,Jetstar,JETSTAR,manual_review,2026-07-06T07:08:38+00:00,2026-07-06T07:08:38+00:00
262,Jetts,JETTS,active,manual_review,519,JETTS,JETTS,manual_review,2026-07-06T05:50:57+00:00,2026-07-06T05:50:57+00:00
405,John Holland,JOHN HOLLAND,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,692,John Holland,JOHN HOLLAND,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
35,KFC,KFC,active,sample_verified,251,KENTUCKY FRIED CHICKEN,KENTUCKY FRIED CHICKEN,verified_csv:illion_txn_shard_0100_3000_text_dedup_part_002_merchant_verified.csv,2026-07-06T01:32:02+00:00,2026-07-06T01:32:02+00:00
